price(USD),title,artist,year created,time period,art movement,condition,signed,age of artwork(years)
7000,"REPRESENT THE WORK, Logo",Matt Mullican,2020,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Signed lower right,4
8000,CPP1,Leonardo Drew,2015,Contemporary,Post-Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right,9
10000,Dark Canyon Bluffs,Wayne Thiebaud,2014,Contemporary,Modernism,"This work is in excellent condition, direct from the publisher.",Signed bottom right,10
10000,Untitled 12,Anish Kapoor,1991,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Signed lower right,33
8500,Nightpack (Red Yellow Blue),Charline von Heyl,2014,Contemporary,Abstract,"This work is in excellent condition, direct from the publisher.",Signed bottom right,10
4000,CPP10,Leonardo Drew,2015,Contemporary,Post-Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right,9
2800,Pendulum,Patricia Treib,2018,Contemporary,Abstract,"This work is in excellent condition, direct from the publisher.",Signed lower right,6
12000,Billboard,Guy Pène Du Bois,1920,Modern,Realism,"The following condition report has been provided by Simon Parkes Art Conservation, Inc., New York, an independent restorer who is not an employee of Sotheby's:This work is in good condition.It has developed mild thin cracks across the top edge and across the bottom edge, not unusual for plywood.The cracks have not been retouched, except in the left shoulder of the figure, and will remain stable.The paint layer is clean and lightly varnished.There are a few retouches in tiny spots around the edges, in the left elbow of the figure and in 5 small spots in the left background.Pene du Bois' original color reads quite strongly in the hat and in the diagonal green line across the lower part of the picture, but this is all original pigment. The work should be hung as is.",Signed Guy Pène du Bois and dated 20 (lower left),104
2000,Study for Saline Rocks,Jason Bereswill,2008,Contemporary,Realism,Mounted to a new mat ,unknown,16
15000,Sophie Arnould Study II,Kehinde Wiley,2016,Contemporary,Realism,"The work is in excellent condition, direct from the publisher.","Signed in pencil, dated and numbered lower right",8
700,Servel Portrait,Linda Besse,2003,Contemporary,Realism,The work is in original condition.Under UV: There are no signs of inpainting or previous restoration. ,Signed Linda Besse;  dated ©  2003 (lower right),21
3000,Zebras Drinking,Grant Hacking,2000,Contemporary,Realism,The canvas is unlined and there is minor frame abrasion along the extreme edges.Under UV: There are no signs of inpainting or previous restoration. ,Signed Grant Hacking © and dated ‘00 (lower left),24
1200,Looking for Game ,Grant Hacking,2010,Contemporary,Realism,The canvas is unlined and tacked to the original stretchers. Under UV: There are no signs of inpainting or previous restoration.,"Signed Grant Hacking (lower left); titled, dated © 2010, signed Grant Hacking (on the reverse)",14
1000,In the Grass - Cheetah,Linda Besse,2005,Contemporary,Realism,There is minor frame abrasion along the edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Signed Linda Besse and dated © 2005 (lower right),19
800,Lion Cubs,Linda Besse,2002,Contemporary,Realism,The work is in original condition. Under UV: there are no signs of inpainting or previous restoration.,Signed Linda Besse;  dated ©  2002 (lower left),22
5000,"Late Afternoon Shadows, Cheetah",Grant Hacking,2001,Contemporary,Realism,"The canvas is unlined and tacked to the original stretchers.There is frame abrasion along the edges and there are a few scattered pindots of surface accretions within the sky.Under UV: While some pigments fluoresce, they appear to be the artist's original.",Signed Grant Hacking (lower left),23
30000,Zebra on the Mwagusi Sand River ,Michael Ghaui,1999,Post-War,Realism,"The canvas is unlined and tacked to the original stretchers. Under UV: While some pigments read strongly, they appear to be the artist’s original.  ",Signed MAGhaui ©; dated 99 (lower left),25
6000,Zebras in the Hills,Grant Hacking,2000,Contemporary,Realism,The canvas is unlined and there is minor frame abrasion to the extreme edges.Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Signed Grant Hacking © and dated 2000 (lower left),24
5500,Wounders of a Frog ,Philip Howard Evergood,1958,Post-War,Expressionism,Not examined out of frame.Work is in original condition.,Signed Philip Evergood bottom right corner recto ,66
12000,"Boating, Early Autumn ",Joseph Rusling Meeker,1877,19th Century,Realism,Very good condition.Relined.,"Signed JR Meeker, (lower left)",147
2250,Jellyfish Eyes - Black 3,Takashi Murakami,2004,Contemporary,Pop Art,This work is in excellent condition.,"Signed and numbered in silver ink, lower right",20
3000,"And Then... All Things Good and Bad, All Days Fine and Rough",Takashi Murakami,2014,Contemporary,Pop Art,This work is in excellent condition.,"Signed and numbered in ink, lower right",10
2250,Jellyfish Eyes - Black 1,Takashi Murakami,2004,Contemporary,Pop Art,This work is in excellent condition.,"Signed and numbered in silver ink, lower right",20
3000,Flower Ball (Dumpling),Takashi Murakami,2013,Contemporary,Pop Art,This work is in excellent condition.,"Signed and numbered in silver ink, lower right",11
2250,Jellyfish Eyes - White 1,Takashi Murakami,2006,Contemporary,Pop Art,This work is in excellent condition.,"Signed and numbered in silver ink, lower right",18
14000,Man's Best Friend,KAWS,2016,Contemporary,Street Art,Excellent condition ,Signed and dated in pencil recto,8
70000,Landscape Mobile (Limoges),Roy Lichtenstein,1990,Contemporary,Pop Art,"This work is in excellent condition, direct from the publisher.",Signed and numbered,34
3250,Going Home #24,Edgar Nye,1935,Modern,Expressionism,Wear consistent with age and use. ,unknown,89
7500,Harbor Scene,George Pearse Ennis,1928,Modern,Impressionism,Wear consistent with age and use.,"Signed lower left ""Ennis"" and titled ""Silvery Light"" in pencil on stretcher bar. ",96
2500,funzionario,Doris McCarthy,2021,Contemporary,Abstract,Excellent condition.,unknown,3
2500,rosadue,Doris McCarthy,2021,Contemporary,Abstract,Excellent condition.,"Signed, titled, dated and numbered recto ",3
2500,orizzontale,Doris McCarthy,2021,Contemporary,Abstract,Excellent condition.,"Titled, numbered, signed and dated recto",3
2500,giallouno,Doris McCarthy,2022,Contemporary,Abstract,Excellent condition.,"Signed, titled, dated and numbered recto ",2
12000,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Each signed and numbered,34
10000,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher",Each signed and numbered,34
2500,Mr. and Mrs. Monster Meat Carving Set,Joel Otterson,1994,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Signed and numbered on the base,30
900,L'Empreinte Digitale (White),César,1991,Contemporary,Nouveau Réalisme,"This work is in excellent condition, direct from the publisher.",Signed and numbered by the artist,33
900,L'Empreinte Digitale (Blue),César,1991,Contemporary,Nouveau Réalisme,"This work is in excellent condition, direct from the publisher.",Signed and numbered by the artist,33
12000,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Each piece signed and numbered,34
12000,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Each signed and numbered,34
800,Amour Totale,Jean Tinguely,1991,Contemporary,Nouveau Réalisme,"This work is in excellent condition, direct from the publisher.",Signed and numbered on the back,33
800,Amour Totale,Jean Tinguely,1991,Contemporary,Nouveau Réalisme,"This work is in excellent condition, direct from the publisher.",Signed and numbered on the back,33
10000,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Each piece signed and numbered,34
42500,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Signed and numbered,34
42500,Madame de Pompadour (née Poisson),Cindy  Sherman,1990,Contemporary,Conceptual ,"This work is in excellent condition, direct from the publisher.",Signed and numbered,34
27500,Classical Still Life,George Segal,1990,Contemporary,Pop Art,"This work is in excellent condition, direct from the publisher.",Signed and numbered,34
7000,Platter,Lucas  Samaras,1996,Contemporary,Surrealism,"This work is in excellent condition, direct from the publisher.",Signed and numbered on the base,28
7000,Elijah Cup,Tom Otterness,1994,Contemporary,Social Realism,"This work is in excellent condition, direct from the publisher.",Signed and numbered on the bottom,30
18000,Seder Plate,Tom Otterness,1994,Contemporary,Social Realism,"This work is in excellent condition, direct from the publisher.",Signed and numbered on the back,30
5000,Tasted Snow,John Chamberlain,1996,Contemporary,Abstract Expressionism,"This work is in excellent condition, direct from the publisher.",Signed and numbered verso,28
8000,Tumultuous Heart,Walter Robinson,2017,Contemporary,Pop Art,This work is in excellent condition.,Signed certificate of authenticity,7
10000,New Abstraction No. 59 (Red Stripe),James Welling,2010,Contemporary,Conceptual ,This work is in excellent condition.,Signed and numbered on label by the artist,14
24000,Beneath the Sun,Brian Calvin,2019,Contemporary,Surrealism,"This work is in excellent condition, direct from the publisher.",Signed certificate of authenticity,5
8500,Untitled,Jonathan Lasker,2011,Contemporary,Abstract,"This work is in excellent condition, direct from the publisher.",Signed and numbered on label by the artist,13
18000,Yellow and Orange Orchid Clipping,Jonas Wood,2018,Contemporary,Pop Art,This work is in excellent condition.,Signed certificate of authenticity,6
22500,Natalie Scrape Cleaning,Gustave Blache III,2014,Contemporary,Realism,This work is in very good condition.,Signed upper right,10
42000,Celia with Blade (Standing on Footstool),Gustave Blache III,2016,Contemporary,Realism,This work is in very good condition.,Signed upper right,8
28500,Simon Test Cleaning with Bonhams,Gustave Blache III,2014,Contemporary,Realism,This work is in very good condition.,Signed lower right,10
8500,Sin Título,Darío Escobar,2016,Contemporary,Pop Art,"The work is in excellent condition, direct from the publisher.","Signed, dated and numbered",8
1800,Follow Me,Ivan Albright,1948,Modern,Realism,Light spotting to print margins.Small scuffs to frame. Artwork not examined outside of frame. ,Signed and titled in pencil in lower margin,76
6000,Square Meals,Michael Wesely,1996,Contemporary,Abstract,"Please note, the colors and shades in the online catalogue illustration may vary depending on screen settings. This Cibachrome print is in generally excellent condition. The colors remain vibrant and saturated, with no apparent fading. Visible only upon very close examination are occasional deposits of retouching. When examined closely in high raking light, some shallow scratches care visible, possibly a result of processing. There is an approximately one-inch scratch in the lower right quadrant, primarily in the margin, and each margin corner is scuffed where the print has been in contact with the frame. None of the aforementioned are immediately visible nor do they detract from the overall fine appearance of this photograph.","A Galerie Walter Storms postcard on the reverse of the mount, with credit, title and date engraved on the side.",28
6000,Cain and Abel,John Fischer,1971,Post-War,Expressionism,Very small hole at center of canvas.Moderate edge wear.,Signed front right lower corner in paint; titled and dated on the verso in ink,53
3000,Vive la France,John Fischer,1960,Post-War,Expressionism,"Some areas of edges are covered with adhesive paper, missing at corners.Moderate edge wear with small gouges to canvas edges and corners.Moderate wear to wood frame.The back fitted with a hanging wire.",unknown,64
6500,Secret Source,John Fischer,1972,Post-War,Expressionism,Unpainted stapled edges.Occasional edge wear to canvas.,unknown,52
6000,Portrait,John Fischer,1972,Post-War,Expressionism,Occasional marks and fraying to canvas edge. ,Signed and dated on the verso upper right corner in pen,52
6000,Horizontal Extension,John Fischer,1990,Post-War,Expressionism,"Nicks, gouges and moderate edge wear.",unknown,34
6000,Yaweh,John Fischer,1984,Post-War,Expressionism,"Not examined outside of frame.Nicks, scratches and some yellowing to frame. ",Signed and dated on the verso in paint,40
4000,Untitled ,John Fischer,1984,Post-War,Expressionism,Occasional edge wear to canvas sides and corners.,unknown,40
3000,Triangle #NY.6,John Fischer,1972,Post-War,Expressionism,Occasional nicks and edge wear.,Signed on the verso in paint and pen,52
5000,Escape,John Fischer,1981,Post-War,Surrealism,Occasional marks and wear to edges. ,unknown,43
3000,Triangle #NY,John Fischer,1972,Post-War,Abstract,Occasional nicks to edges.,unknown,52
6000,Untitled ,John Fischer,1971,Post-War,Expressionism,Occasional wear to edges.,unknown,53
6000,Horizontal Line of Lines,John Fischer,1990,Post-War,Expressionism,"Sides are wrapped with adhesive paper. Occasional nicks, gouges and edge wear. ",unknown,34
6000,Untitled ,John Fischer,1971,Post-War,Expressionism,Occasional marks and wear to edges.,unknown,53
3000,Triangle #G.10,John Fischer,1984,Post-War,Abstract,"Occasional nicks, scratches and edge wear.More noticeable gouge to left edge.Sides are wrapped with adhesive paper, small string attached at edge.",Signed in paint verso ,40
14000,Man's Best Friend ,KAWS,2016,Contemporary,Street Art,Excellent condition.,Signed and dated in pencil recto ,8
14000,Man's Best Friend ,KAWS,2016,Contemporary,Street Art,Excellent condition.,Signed and dated in pencil recto,8
2000,"Les Poètes, Four Standing Figures",Henry Moore,1973,Post-War,Abstract,No obvious signs of damage or wear.,Initialed on bottom right,51
2000,"Les Poètes, Ideas from a Sketchbook",Henry Moore,1976,Post-War,Abstract,No obvious signs of damage or wear.,Initialed bottom right,48
2000,"Les Poètes, Three Sculptural Forms",Henry Moore,1973,Post-War,Abstract,No obvious signs of damage or wear.,Initialed on bottom right,51
2000,"Les Poètes, Reclining Woman",Henry Moore,1973,Post-War,Abstract,No obvious signs of damage or wear.,Initialed on bottom right,51
2000,"Les Poètes, Creole Lady",Henry Moore,1973,Post-War,Abstract,No obvious signs of damage or wear.,Initialed on bottom right,51
2000,"Les Poètes, Two Heads",Henry Moore,1973,Post-War,Abstract,No obvious signs of damage or wear.,Initialed on bottom right,51
3500,"The Angel, M.288",Marc Chagall,1960,Post-War,Surrealism,No obvious signs of wear to print.,unknown,64
3000,Maquette de Jean Prouvé,Lucien Hervé,1950,Post-War,Realism,One small crease to photograph on the bottom edge.Artist retouch marks in upper right-hand corner.Cropped to size by artist.,"Signed, dated and titled verso",74
5000,Morning on the Brandywine ,Edmund Darch Lewis,1896,19th Century,Realism,Not examined out of frame.No visible loss to painting.Craquelure on surface of canvas from age.Loss to frame on lower right.Discoloration to back of canvas consistent with age.,Signed and dated lower left recto,128
9500,"Seasons of Hope, Summer",Robert Indiana,2012,Contemporary,Pop Art,No obvious signs of damage or wear.,"Signed, dated, and numbered in pencil recto",12
2200,356 CcornUuoOrphanosS two,Charlemagne Palestine,2018,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed by artist on front,6
2500,Newz!,Math Bass,2018,Contemporary,Geometric Abstraction,"The work is in excellent condition, direct from the publisher.",Signed by artist on back,6
2500,Oboja Negra,Dennis Hollingsworth,2006,Contemporary,Abstract,"The work is in excellent condition, direct from the publisher.",Signed by artist on bottom right,18
15000,Mary Queen of Scots,Judy Chicago,1973,Contemporary,Feminist Art ,"The work is in excellent condition, direct from the publisher.",Signed by artist on the reverse,51
135000,"Untitled (Desert), Untitled (Ocean), Untitled (Sky), Untitled (Galaxy)",Vija Celmins,1975,Contemporary,Photorealism,"The work is in excellent condition, direct from the publisher.",Signed by artist on bottom right,49
15000,Engravings with Sounds: Sniffle,John Baldessari,2015,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed by artist on front,9
50000,IF,Ed  Ruscha,2000,Contemporary,Pop Art,"The work is in excellent condition, direct from the publisher. It is offered unframed.",Signed and dated by artist on bottom right,24
4500,Untitled (028C),Joe Goode,1971,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.","Signed, dated, and numbered by artist on bottom",53
9500,"Seasons of Hope, Spring",Robert Indiana,2012,Contemporary,Pop Art,Excellent condition.,"Signed, dated, and numbered in pencil recto",12
9500,"Seasons of Hope, Summer",Robert Indiana,2012,Contemporary,Pop Art,Excellent condition.,"Signed, dated and numbered in pencil recto",12
5000,Carvings 5 ,Sterling Ruby,2006,Contemporary,Abstract,No obvious signs of damage or wear.Not examined out of frame.,unknown,18
3000,"Fruit and Flowers, Yellow Roses",Donald Sultan,1992,Post-War,Expressionism,Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,"Numbered on bottom right.Titled, dated and initialed along left side.",32
3000,"Fruit and Flowers III, Yellow Peppers",Donald Sultan,1993,Post-War,Pop Art,Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Two corners of frame are misaligned.Not examined outside of frame.,"Signed, titled, dated and numbered in pencil recto ",31
3000,"Fruit and Flowers, Roses",Donald Sultan,1992,Post-War,Pop Art,Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,"Signed, titled, dated and numbered in pencil recto ",32
3000,"Fruit and Flowers III, Acanthus",Donald Sultan,1992,Post-War,Minimalism,Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,"Signed, titled, dated and numbered in pencil recto ",32
5000,Carvings 4 ,Sterling Ruby,2006,Contemporary,Abstract,No obvious signs of wear or damage.Not examined out of frame.,unknown,18
9500,"Seasons of Hope, Winter",Robert Indiana,2012,Contemporary,Pop Art,Excellent condition.,"Signed, dated and numbered in pencil recto",12
9500,"Seasons of Hope, Autumn",Robert Indiana,2012,Contemporary,Pop Art,Excellent condition.,"Signed, dated and numbered in pencil recto",12
3000,"Fruit and Flowers, Calla Lillies",Donald Sultan,1992,Post-War,Pop Art,Slight oxidation of paper at edges and where tape is adhered to top corners.Minor nicks and scratches to metal frame.Not examined outside of frame.,"Initialed, titled, dated and numbered in pencil recto ",32
5000,Carvings 2,Sterling Ruby,2006,Contemporary,Abstract,No obvious signs of wear or damage.Not examined out of frame.,unknown,18
3000,"Fruit and Flowers III, Five Pears, a Lemon, and an Egg",Donald Sultan,1994,Post-War,Pop Art,Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,"Signed, titled, dated and numbered in pencil recto ",30
9500,"Seasons of Hope, Autumn",Robert Indiana,2012,Contemporary,Pop Art,No obvious signs of damage or wear.,"Signed, dated and numbered in pencil recto",12
3000,"Fruit and Flowers III, Pomegranates",Donald Sultan,1994,Post-War,Pop Art,Minor nicks and scratches to metal frame.Not examined out of frame.,"Initialed, titled, dated and numbered in pencil recto ",30
5000,Carvings 3 ,Sterling Ruby,2006,Contemporary,Abstract,No obvious signs of damage or wear.Not examined out of frame.,unknown,18
9500,"Seasons of Hope, Winter",Robert Indiana,2012,Contemporary,Pop Art,No obvious signs of damage or wear.Unframed.,"Signed, dated and numbered on bottom",12
5000,Carvings 1,Sterling Ruby,2006,Contemporary,Abstract,No obvious signs of wear or damage.Not examined out of frame.,unknown,18
3000,"Fruit and Flowers III, Two Pears, a Lemon, and an Egg",Donald Sultan,1994,Post-War,Pop Art,Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,"Signed, titled, dated and numbered in pencil recto ",30
2000,Candy Darling,Richard Bernstein,1968,Contemporary,Pop Art,The work is in excellent condition.,The Estate of Richard Bernstein stamp on verso,56
3000,Ruby,Richard Bernstein,1977,Contemporary,Pop Art,The work is in excellent condition.,"Signed, titled, numbered and dated on the front in pencil",47
5000,Iggy Pop,Richard Bernstein,1970,Contemporary,Pop Art,The work is in excellent condition.,Signed by artist,54
1500,Mick Jagger Newspaper,Richard Bernstein,1969,Contemporary,Pop Art,The work is in excellent condition.,The Estate of Richard Bernstein stamp on verso,55
4000,Muse (Pat Cleveland),Richard Bernstein,1975,Contemporary,Pop Art,The work is in excellent condition.,The Estate of Richard Bernstein stamp on verso,49
6000,Picasso Pixels,Richard Bernstein,1998,Contemporary,Pop Art,The work is in excellent condition.,"Signed, titled, numbered and dated on the front in pencil",26
4000,Nude Beatles,Richard Bernstein,1968,Contemporary,Pop Art,The work is in excellent condition.,The Estate of Richard Bernstein stamp on verso,56
3000,Diamond,Richard Bernstein,1977,Contemporary,Pop Art,The work is in excellent condition.,"Signed, titled, numbered and dated on the front in pencil",47
10000,Belle Watling (Pink Whores) ,Hossein Edalatkhah,2021,Contemporary,Expressionism,The work is in excellent condition.,Signed and dated on the reverse,3
12500,Dancing Shadows,Hossein Edalatkhah,2018,Contemporary,Organic/Biomorphic Abstraction,The work is in excellent condition.,Signed and dated bottom right,6
4375,Entitled,Hossein Edalatkhah,2020,Contemporary,Expressionism,The work is in excellent condition.,Signed on the reverse,4
4375,Entitled the Second,Hossein Edalatkhah,2020,Contemporary,Expressionism,The work is in excellent condition.,Signed on the reverse,4
4375,Shahmaran,Hossein Edalatkhah,2020,Contemporary,Expressionism,This work is in excellent condition.,Signed on the reverse,4
10000,Pandora’s Garden,Hossein Edalatkhah,2019,Contemporary,Expressionism,The work is in excellent condition.,Signed and dated on the reverse,5
2000,"Martha Graham,  Ekstasis",Barbara Morgan,1935,Modern,Performance Art,"This print, on paper with an eggshell surface, is in generally excellent condition. There is a very faint handling crease visible only in high raking light at the center right. The work is offered unframed.","Embossed signature, title, and date in pencil in the margin.",89
1000,"Martha Graham, Ekstasis ",Barbara Morgan,1935,Modern,Performance Art,"This print, on paper with an eggshell surface, is in generally excellent condition. There are faint gray adhesions that are slightly tacky in the upper left margin. The work is offered unframed.","Embossed signature, title, and date in pencil in the margin.",89
2000,"Martha Graham, Satyric Festival Song",Barbara Morgan,1940,Modern,Performance Art,"This print, on paper with an eggshell surface, is in generally excellent condition. There are adhesive remnants on the mount. On the reverse of the mount, the following is written in pencil in an unidentified hand: ‘Photographed by Barbara Morgan / Martha Graham, Satyric Festival Song 1940.'","Embossed signature, date, and annotation ‘Martha Graham’ in pencil in the margin.",84
3000,Small Ball,JOHN GIBSON,2003,Contemporary,Realism,Good overall condition.Not examined out of frame.Minor sheet undulation.,"Signed, dated and numbered in pencil on recto",21
5000,Blue Gesture (Octavior Paz),Robert  Motherwell,1988,Post-War,Abstract Expressionism,Good overall condition.Not examined out of frame.Sheet undulation.,Signed and numbered in pencil lower right,36
19200,A Forest Walk in Autumn,Carl (Christian Edvard Otto) Carlsen,1892,19th Century,Impressionism,"The canvas is unlined. The paint surface is in good condition with thick impasto except for very fine pigment separation on the central figure's coat and on the tree trunk at right, in a small area. Under UV light, no evidence of inpainting.",Signed and dated Carl. Carlsen./ 1892 lower right ,132
4000,"Two Bathers, Black and White",Eric Fischl,2007,Contemporary,Expressionism,Not examined out of frame.Overall very good condition.,Signed E Fischl lower right verso; numbered 33/98 lower left verso,17
2250,For John Constable,"Patrick Caulfield, R.A.",1976,Post-War,Pop Art,"Very good overall condition.Not examined out of frame.Frame with occasional minor marks, nicks and scratches.",Signed and numbered lower right,48
1000,The Inventor ,John Bankston,2012,Contemporary,Pop Art,Overall very good condition.,"Signed, titled and dated John Bankston The Inventory, 2012 verso; marked Acrylic on canvas verso",12
15000,"Fresh Snow, Yosemite Valley, California ",Ansel Adams,1947,Post-War,Realism,Water stain or smudge on mat on top left corner.Not examined out of frame.No obvious signs of wear to art.,Signed lower right recto,77
10000,"'Letters, Numbers, Punctuation'",William Wegman,1993,Contemporary,Conceptual ,This portfolio composed of 44 gelatin silver prints is in generally excellent condition. The edges of each sheet bow upward slightly. The cloth clamshell box is very slightly soiled at the corners and edges.,"Each signed, dated, editioned '22/26,' and numbered or lettered sequentially in pencil on the reverse.",31
3000,Untitled (One Fourth Jew),Michael Williams,2010,Contemporary,Conceptual ,Overall very good condition.Not examined out of frame.Minor sheet undulation.,unknown,14
28000,B70 Mother and Child ,Agnieszka  Pilat,2021,Contemporary,Abstract,Overall excellent condition ,Stamped Pilat lower right verso,3
32000,B70 Multiples,Agnieszka  Pilat,2021,Contemporary,Abstract,Overall excellent condition,Stamped Pilat lower right verso ,3
3000,Active Cell,Hayal Pozanti,2014,Contemporary,Geometric Abstraction,Very good condition,"Signed by artist and numbered, front",10
8500,Enframed,William Wegman,1995,Post-War,Realism,Very good condition,"Signed ""Thanks Nancy"" William Wegman on verso",29
15000,Rug,Philip Guston,1980,Post-War,Social Realism,Very good condition,"Signed by artist and numbered, recto",44
7500,Refinery Road (one of three),Allison V. Smith,2007,Contemporary,Realism,Very good condition,unknown,17
7500,Refinery Road (one of three),Allison V. Smith,2007,Contemporary,Realism,Very good condition,unknown,17
3500,Objects in the Field,Vernon Fisher,1990,Post-War,Conceptual ,Very good condition,"Signed by artist and numbered, recto",34
3680,Skylar,Charles Arnoldi,2013,Contemporary,Abstract Expressionism,Very good condition,"Signed by artist and numbered, recto",11
7500,Refinery Road (one of three),Allison V. Smith,2007,Contemporary,Realism,Very good condition,unknown,17
12000,"Untitled (White Trains on Salt Flats, I-80, Great Salt Lake Desert, Utah)",Victoria Sambunaris,2010,Contemporary,Realism,Very good condition,unknown,14
3000,Black Flowers 1,Donald Sultan,1996,Post-War,Expressionism,Very good condition,"Signed by artist and numbered, recto",28
5500,Migrant Child: with Bunny,Hung Liu,2019,Contemporary,Realism,Very good condition,"Signed by artist and numbered, recto",5
3680,Walter,Charles Arnoldi,2013,Contemporary,Abstract Expressionism,Very good condition,"Signed by artist and numbered, recto",11
13000,Cream and Red Robe on a Stone,Jim Dine,2010,Contemporary,Pop Art,Very good condition,"Signed by artist and numbered, recto",14
1840,A Sacred Canopy,Hayal Pozanti,2014,Contemporary,Geometric Abstraction,Very good condition,"Signed by artist and numbered, recto",10
5000,Greed Sweet Like Candy,Mike Reesé,2021,Contemporary,Pop Art,Excellent condition.,Signed and titled on the reverse,3
5000,Creation no. 008,Carlos W. Desrosiers,2021,Contemporary,Abstract,Excellent condition.,Signed verso,3
2500,Requin Rouge,Louise Donegan,2016,Contemporary,Pop Art,Excellent condition.,Signed recto Accompanied by a certificate of authenticity,8
